병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
보건소,부산진구보건소,051-645-4000,부산 부산진구 황령대로8번길 36 부산진보건소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:00 - 13:00 ,,매주 토요일
소아청소년과,가야우리아동의원,051-715-3020,부산 부산진구 가야대로679번길 133,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
09:00 - 13:00",13:00 - 14:00 ,,
정신건강의학과,정형모정신건강의학과의원,051-891-0600,부산 부산진구 가야대로 456 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,"08:30 - 17:30
12:30 - 14:00 휴게시간",,"08:30 - 17:30
12:30 - 14:00 휴게시간","08:30 - 17:30
12:30 - 14:00 휴게시간",08:30 - 12:30,08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,,,,,,,,"





",,,
보건소,부산진구보건소,051-645-4000,부산 부산진구 황령대로8번길 36 부산진보건소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:00 - 13:00 ,,매주 토요일
소아청소년과,가야우리아동의원,051-715-3020,부산 부산진구 가야대로679번길 133,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
09:00 - 13:00",13:00 - 14:00 ,,
정신건강의학과,정형모정신건강의학과의원,051-891-0600,부산 부산진구 가야대로 456 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,"08:30 - 17:30
12:30 - 14:00 휴게시간",,"08:30 - 17:30
12:30 - 14:00 휴게시간","08:30 - 17:30
12:30 - 14:00 휴게시간",08:30 - 12:30,08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,,,,,,,,"





",,,
보건소,부산진구보건소,051-645-4000,부산 부산진구 황령대로8번길 36 부산진보건소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:00 - 13:00 ,,매주 토요일
소아청소년과,가야우리아동의원,051-715-3020,부산 부산진구 가야대로679번길 133,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
09:00 - 13:00",13:00 - 14:00 ,,
정신건강의학과,정형모정신건강의학과의원,051-891-0600,부산 부산진구 가야대로 456 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,"08:30 - 17:30
12:30 - 14:00 휴게시간",,"08:30 - 17:30
12:30 - 14:00 휴게시간","08:30 - 17:30
12:30 - 14:00 휴게시간",08:30 - 12:30,08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,,,,,,,,"





",,,
보건소,부산진구보건소,051-645-4000,부산 부산진구 황령대로8번길 36 부산진보건소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:00 - 13:00 ,,매주 토요일
소아청소년과,가야우리아동의원,051-715-3020,부산 부산진구 가야대로679번길 133,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
09:00 - 13:00",13:00 - 14:00 ,,
정신건강의학과,정형모정신건강의학과의원,051-891-0600,부산 부산진구 가야대로 456 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,"08:30 - 17:30
12:30 - 14:00 휴게시간",,"08:30 - 17:30
12:30 - 14:00 휴게시간","08:30 - 17:30
12:30 - 14:00 휴게시간",08:30 - 12:30,08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
가정의학과,장팔팔의원,051-714-1388,부산 부산진구 범일로 146-1,,,,,,,,"





",,,
